County,Number_Of_Registered_Persons_With_Albinism,Distibuted_Sunscreen_Lotions,Distributed_Lip_Care_Products,Distributed_After_Sun_Lotions,Distributed_Protective_Clothings_Caps,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,No_PWA_2019,Total_Products,Products_per_PWA
BARINGO,3,108,108,108,27,27,76,381,5.0131578947368425
BOMET,49,1764,1764,1764,441,441,88,6223,70.7159090909091
BUNGOMA,229,8244,8244,8244,2061,2061,481,29083,60.46361746361746
BUSIA,34,1224,1224,1224,306,306,314,4318,13.751592356687897
E. MARKWET,1,36,36,36,9,9,0,127,
EMBU,39,1404,1404,1404,351,351,215,4953,23.037209302325582
GARISSA,16,576,576,576,144,144,514,2032,3.953307392996109
HOMA BAY,46,1656,1656,1656,414,414,375,5842,15.578666666666667
ISIOLO,4,144,144,144,36,36,20,508,25.4
KAJIADO,42,1512,1512,1512,378,378,115,5334,46.38260869565217
KAKAMEGA,210,7560,7560,7560,1890,1890,568,26670,46.95422535211268
KERICHO,43,1548,1548,1548,387,387,59,5461,92.55932203389831
KIAMBU,153,5508,5508,5508,1377,1377,284,19431,68.41901408450704
KILIFI,109,3924,3924,3924,981,981,265,13843,52.237735849056605
KIRINYGA,36,1296,1296,1296,324,324,0,4572,
KISII,320,11520,11520,11520,2880,2880,425,40640,95.62352941176471
KISUMU,60,2160,2160,2160,540,540,298,7620,25.57046979865772
KITUI,135,4860,4860,4860,1215,1215,296,17145,57.9222972972973
KWALE,112,4032,4032,4032,1008,1008,171,14224,83.18128654970761
LAIKIPIA,22,792,792,792,198,198,44,2794,63.5
LAMU,15,540,540,540,135,135,17,1905,112.05882352941177
MACHAKOS,61,2196,2196,2196,549,549,287,7747,26.993031358885016
MAKUENI,83,2988,2988,2988,747,747,296,10541,35.611486486486484
MANDERA,15,540,540,540,135,135,162,1905,11.75925925925926
MARSABIT,6,216,216,216,54,54,29,762,26.275862068965516
MERU,115,4140,4140,4140,1035,1035,563,14605,25.94138543516874
MIGORI,47,1692,1692,1692,423,423,242,5969,24.665289256198346
MOMBASA,123,4428,4428,4428,1107,1107,209,15621,74.74162679425838
MURANGA,73,2628,2628,2628,657,657,0,9271,
NAIROBI,86,3096,3096,3096,774,774,525,10922,20.803809523809523
NAKURU,65,2340,2340,2340,585,585,232,8255,35.581896551724135
NANDI,64,2304,2304,2304,576,576,137,8128,59.32846715328467
NAROK,48,1728,1728,1728,432,432,86,6096,70.88372093023256
NYAMIRA,35,1260,1260,1260,315,315,190,4445,23.394736842105264
NYANDARUA,29,1044,1044,1044,261,261,75,3683,49.10666666666667
NYERI,45,1620,1620,1620,405,405,121,5715,47.231404958677686
SAMBURU,3,108,108,108,27,27,45,381,8.466666666666667
SIAYA,131,4716,4716,4716,1179,1179,342,16637,48.646198830409354
TA TAVETA,65,2340,2340,2340,585,585,0,8255,
TAN RIVER,40,1440,1440,1440,360,360,0,5080,
THA NITHI,29,1044,1044,1044,261,261,0,3683,
TRANSNZOIA,91,3276,3276,3276,819,819,0,11557,
TURKANA,11,396,396,396,99,99,255,1397,5.47843137254902
U- GISHU,80,2880,2880,2880,720,720,0,10160,
VIHIGA,46,1656,1656,1656,414,414,190,5842,30.74736842105263
WAJIR,68,2448,2448,2448,612,612,122,8636,70.78688524590164
WEST POKOT,16,576,576,576,144,144,75,2032,27.093333333333334
